Vertical Sample,Distance,Horizontal Sample
SG #1,NA,SG #4a
SG #1,NA,SG #6
SG #1,NA,SG #8
SG #1,NA,SG #9
SG #1,NA,SG #10
SG #1,NA,SG #13
SG #1,NA,SG #14
SG #1,NA,SG #15
SG #1,NA,SG #17
SG #1,NA,SG #20a
SG #1,NA,SG #22
SG #1,NA,SG #23
SG #1,NA,SG #24
SG #1,NA,SG #27
SG #1,NA,SG #28
SG #1,NA,SG #29
SG #1,NA,SG #30
SG #4a,NA,SG #1
SG #4a,0.6,SG #6
SG #4a,0.3,SG #8
SG #4a,NA,SG #9
SG #4a,NA,SG #13
SG #4a,NA,SG #14
SG #4a,NA,SG #15
SG #4a,NA,SG #17
SG #4a,0.2,SG #20a
SG #4a,NA,SG #22
SG #4a,NA,SG #23
SG #4a,NA,SG #24
SG #4a,0.1,SG #27
SG #4a,NA,SG #28
SG #4a,0.1,SG #29
SG #4a,NA,SG #30
SG #6,NA,SG #1
SG #6,0.1,SG #4a
SG #6,NA,SG #8
SG #6,NA,SG #9
SG #6,NA,SG #10
SG #6,NA,SG #13
SG #6,NA,SG #14
SG #6,NA,SG #15
SG #6,NA,SG #17
SG #6,0.3,SG #20a
SG #6,NA,SG #21
SG #6,NA,SG #22
SG #6,NA,SG #23
SG #6,NA,SG #24
SG #6,NA,SG #27
SG #6,NA,SG #28
SG #6,NA,SG #29
SG #6,0.2,SG #30
SG #8,NA,SG #1
SG #8,NA,SG #4a
SG #8,1.3,SG #6
SG #8,NA,SG #9
SG #8,NA,SG #13
SG #8,0.4,SG #14
SG #8,NA,SG #15
SG #8,1,SG #17
SG #8,0.5,SG #20a
SG #8,NA,SG #21
SG #8,NA,SG #22
SG #8,1.1,SG #23
SG #8,NA,SG #24
SG #8,0.5,SG #27
SG #8,2,SG #28
SG #8,1.4,SG #29
SG #8,1.7,SG #30
SG #9,NA,SG #1
SG #9,NA,SG #4a
SG #9,NA,SG #6
SG #9,NA,SG #8
SG #9,NA,SG #10
SG #9,NA,SG #13
SG #9,NA,SG #14
SG #9,NA,SG #15
SG #9,NA,SG #17
SG #9,NA,SG #20a
SG #9,NA,SG #21
SG #9,NA,SG #22
SG #9,NA,SG #23
SG #9,NA,SG #24
SG #9,NA,SG #27
SG #9,0.6,SG #28
SG #9,NA,SG #29
SG #9,NA,SG #30
SG #10,0.6,SG #1
SG #10,0.3,SG #4a
SG #10,1,SG #6
SG #10,0.4,SG #8
SG #10,NA,SG #9
SG #10,NA,SG #13
SG #10,0.5,SG #14
SG #10,NA,SG #15
SG #10,NA,SG #17
SG #10,0.8,SG #20a
SG #10,NA,SG #22
SG #10,0.9,SG #23
SG #10,NA,SG #24
SG #10,NA,SG #27
SG #10,0.5,SG #28
SG #10,NA,SG #29
SG #13,0.7,SG #1
SG #13,NA,SG #4a
SG #13,NA,SG #6
SG #13,NA,SG #8
SG #13,NA,SG #9
SG #13,NA,SG #10
SG #13,NA,SG #14
SG #13,0.7,SG #15
SG #13,NA,SG #17
SG #13,NA,SG #20a
SG #13,NA,SG #21
SG #13,NA,SG #23
SG #13,NA,SG #24
SG #13,NA,SG #27
SG #13,NA,SG #28
SG #13,NA,SG #29
SG #13,NA,SG #30
SG #14,NA,SG #1
SG #14,0.1,SG #4a
SG #14,0.5,SG #6
SG #14,NA,SG #8
SG #14,NA,SG #9
SG #14,0.6,SG #10
SG #14,NA,SG #13
SG #14,NA,SG #15
SG #14,0.3,SG #20a
SG #14,0.6,SG #23
SG #14,NA,SG #24
SG #14,0.6,SG #28
SG #15,NA,SG #1
SG #15,NA,SG #4a
SG #15,NA,SG #6
SG #15,NA,SG #8
SG #15,NA,SG #9
SG #15,NA,SG #10
SG #15,NA,SG #13
SG #15,NA,SG #14
SG #15,NA,SG #17
SG #15,NA,SG #20a
SG #15,NA,SG #22
SG #15,NA,SG #23
SG #15,NA,SG #24
SG #15,NA,SG #27
SG #15,NA,SG #28
SG #15,NA,SG #29
SG #15,NA,SG #30
SG #17,1,SG #1
SG #17,NA,SG #4a
SG #17,0.4,SG #6
SG #17,NA,SG #8
SG #17,NA,SG #9
SG #17,NA,SG #10
SG #17,NA,SG #13
SG #17,NA,SG #14
SG #17,NA,SG #15
SG #17,NA,SG #20a
SG #17,NA,SG #22
SG #17,0.6,SG #23
SG #17,NA,SG #24
SG #17,NA,SG #27
